question,premise,choice1,choice2,kind,a1,a2,correct,gap,peak
"Consider the following example: ‘‘‘A burglar broke into the house.’’’ Choice 1: The homeowners were asleep. Choice 2: The security alarm went off. Q: Which one is more likely to be the effect, choice 1 or choice 2?",A burglar broke into the house.,The homeowners were asleep.,The security alarm went off.,effect,0.4140663146972656,-0.5456233024597168,2,0.9596896171569824,0.5456233024597168
"Consider the following example: ‘‘‘A fistfight broke out in the hall of the school.’’’ Choice 1: The principal suspended the students involved. Choice 2: The principal called off classes for the day. Q: Which one is more likely to be the effect, choice 1 or choice 2?",A fistfight broke out in the hall of the school.,The principal suspended the students involved.,The principal called off classes for the day.,effect,0.655823290348053,-1.1936115026474,1,1.8494347929954529,1.1936115026474
"Consider the following example: ‘‘‘A man cut in front of me in the long line.’’’ Choice 1: I confronted him. Choice 2: I smiled at him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",A man cut in front of me in the long line.,I confronted him.,I smiled at him.,effect,2.4120354652404785,-2.9594788551330566,1,5.371514320373535,2.9594788551330566
"Consider the following example: ‘‘‘Air leaked out of the beach ball.’’’ Choice 1: It was inflated. Choice 2: There was a hole in it. Q: Which one is more likely to be the cause, choice 1 or choice 2?",Air leaked out of the beach ball.,It was inflated.,There was a hole in it.,cause,-1.0382764339447021,1.578027367591858,2,2.61630380153656,1.578027367591858
"Consider the following example: ‘‘‘Air pollution in the city worsened.’’’ Choice 1: Factories increased their production. Choice 2: Factories shut down. Q: Which one is more likely to be the cause, choice 1 or choice 2?",Air pollution in the city worsened.,Factories increased their production.,Factories shut down.,cause,-0.42142438888549805,0.7200006246566772,1,1.1414250135421753,0.7200006246566772
"Consider the following example: ‘‘‘Everyone in the class turned to stare at the student.’’’ Choice 1: The student's phone rang. Choice 2: The student took notes. Q: Which one is more likely to be the cause, choice 1 or choice 2?",Everyone in the class turned to stare at the student.,The student's phone rang.,The student took notes.,cause,2.2577626705169678,-2.95419979095459,1,5.211962461471558,2.95419979095459
"Consider the following example: ‘‘‘I approached the man.’’’ Choice 1: He looked busy. Choice 2: He looked familiar. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I approached the man.,He looked busy.,He looked familiar.,cause,0.9166138768196106,-0.9091268181800842,2,1.8257406949996948,0.9166138768196106
"Consider the following example: ‘‘‘I botched the job interview.’’’ Choice 1: The interviewer asked difficult questions. Choice 2: I anticipated the interviewer's questions. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I botched the job interview.,The interviewer asked difficult questions.,I anticipated the interviewer's questions.,cause,1.9668530225753784,-2.4308786392211914,1,4.39773166179657,2.4308786392211914
"Consider the following example: ‘‘‘I came upon a puddle on the sidewalk.’’’ Choice 1: I leapt over the puddle. Choice 2: I played in the puddle. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I came upon a puddle on the sidewalk.,I leapt over the puddle.,I played in the puddle.,effect,0.4953399896621704,-0.23895159363746643,1,0.7342915832996368,0.4953399896621704
"Consider the following example: ‘‘‘I clenched the candy wrapper in my fist.’’’ Choice 1: The wrapper crinkled. Choice 2: The wrapper ripped. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I clenched the candy wrapper in my fist.,The wrapper crinkled.,The wrapper ripped.,effect,-1.295851230621338,1.7701510190963745,1,3.0660022497177124,1.7701510190963745
