activation,branch,role,label,truth,question,answer,text,rel_rank,end
3.719642400741577,1,cf,0,1,"Consider the following example: ‘‘‘The scientist conducted an experiment.’’’ Choice 1: She validated her theory. Choice 2: She fabricated her data. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The scientist conducted an experiment.’’’ Choice 1: She validated her theory. Choice 2: She fabricated her data. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",1.0,high
3.319563627243042,1,cf,1,0,"Consider the following example: ‘‘‘The computer crashed.’’’ Choice 1: I backed up my files. Choice 2: I downloaded a virus. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The computer crashed.’’’ Choice 1: I backed up my files. Choice 2: I downloaded a virus. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.9979959919839679,high
3.1853370666503906,1,cf,0,1,"Consider the following example: ‘‘‘The host served dinner to his guests.’’’ Choice 1: His guests were gracious. Choice 2: His guests went hungry. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The host served dinner to his guests.’’’ Choice 1: His guests were gracious. Choice 2: His guests went hungry. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.9959919839679359,high
3.1361947059631348,1,cf,0,1,"Consider the following example: ‘‘‘I learned how to play the board game.’’’ Choice 1: My friend explained the rules to me. Choice 2: My friend got the rules wrong. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘I learned how to play the board game.’’’ Choice 1: My friend explained the rules to me. Choice 2: My friend got the rules wrong. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.9939879759519038,high
3.0662460327148438,1,cf,0,1,"Consider the following example: ‘‘‘The woman tolerated her friend's difficult behavior.’’’ Choice 1: The woman knew her friend was going through a hard time. Choice 2: The woman felt that her friend took advantage of her kindness. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman tolerated her friend's difficult behavior.’’’ Choice 1: The woman knew her friend was going through a hard time. Choice 2: The woman felt that her friend took advantage of her kindness. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.9919839679358717,high
3.0393192768096924,1,cf,1,0,"Consider the following example: ‘‘‘The woman filed a restraining order against the man.’’’ Choice 1: The man called her. Choice 2: The man stalked her. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman filed a restraining order against the man.’’’ Choice 1: The man called her. Choice 2: The man stalked her. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.9899799599198397,high
2.8886001110076904,1,cf,0,1,"Consider the following example: ‘‘‘The man revealed personal information to the therapist.’’’ Choice 1: He trusted the therapist. Choice 2: He disagreed with the therapist. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The man revealed personal information to the therapist.’’’ Choice 1: He trusted the therapist. Choice 2: He disagreed with the therapist. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.9879759519038076,high
2.7576167583465576,1,cf,1,0,"Consider the following example: ‘‘‘The smoke alarm went off.’’’ Choice 1: I lit a candle. Choice 2: I burnt my dinner. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The smoke alarm went off.’’’ Choice 1: I lit a candle. Choice 2: I burnt my dinner. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.9859719438877755,high
2.7490806579589844,1,cf,1,0,"Consider the following example: ‘‘‘The woman was in a bad mood.’’’ Choice 1: She engaged in small talk with her friend. Choice 2: She told her friend to leave her alone. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman was in a bad mood.’’’ Choice 1: She engaged in small talk with her friend. Choice 2: She told her friend to leave her alone. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.9839679358717435,high
2.738339900970459,0,base,0,0,"Consider the following example: ‘‘‘The man turned on the faucet.’’’ Choice 1: The toilet filled with water. Choice 2: Water flowed from the spout. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The man turned on the faucet.’’’ Choice 1: The toilet filled with water. Choice 2: Water flowed from the spout. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.9819639278557114,high
