dataset,position,method,loudness,purity,accuracy
comparisons,answer,CRC-TPC,0.09109422971316058,0.6915732916184848,1.0
comparisons,answer,tcPCA,0.06222716487585502,0.9304957744983094,1.0
comparisons,answer,g-tcPCA,0.02549450518633838,0.9928165374484069,1.0
comparisons,period,CRC-TPC,0.9655583565503961,0.002207352152450339,0.52
comparisons,period,tcPCA,5.3523194992173784e-05,0.9463252186420771,0.942
comparisons,period,g-tcPCA,2.40843473364442e-05,0.9966365319939988,0.96
sp_en_trans,answer,CRC-TPC,0.11286463469903753,0.7579615048153422,1.0
sp_en_trans,answer,tcPCA,0.08591815863552281,0.9491545609796037,1.0
sp_en_trans,answer,g-tcPCA,0.07441976558141862,0.9595492061446614,1.0
sp_en_trans,period,CRC-TPC,0.6176921056270004,0.9187217262541485,0.9887005649717514
sp_en_trans,period,tcPCA,0.5772465370723123,0.9629871490826275,0.9887005649717514
sp_en_trans,period,g-tcPCA,0.2979378764801202,0.9893925218789766,0.9887005649717514
cities,answer,CRC-TPC,0.3623269620572334,0.851814746284872,0.998
cities,answer,tcPCA,0.3204992779511496,0.9338198923594796,0.998
cities,answer,g-tcPCA,0.07871575179857293,0.9939256650460676,0.998
cities,period,CRC-TPC,0.9973163392082769,0.013023745651439673,0.526
cities,period,tcPCA,0.00013365438857721818,0.880269999616415,0.994
cities,period,g-tcPCA,6.057074093106224e-05,0.9469955689133424,0.998
amazon,answer,CRC-TPC,0.4726246290468324,0.9559361949254398,0.956
amazon,answer,tcPCA,0.46018102223050894,0.9749465424976438,0.956
amazon,answer,g-tcPCA,0.15076201857842722,0.994642499568013,0.96
amazon,period,CRC-TPC,0.909014260518927,1.1972617547587608e-05,0.546
amazon,period,tcPCA,6.965468679163432e-06,0.8685581722772897,0.93
amazon,period,g-tcPCA,1.961525920307384e-06,0.969359597049969,0.9339999999999999
imdb,answer,CRC-TPC,0.48788015639078247,0.6869880922820535,0.926
imdb,answer,tcPCA,0.3540223034414371,0.8730997844828174,0.938
imdb,answer,g-tcPCA,0.06784376153426223,0.9748354183565987,0.938
imdb,period,CRC-TPC,0.0012185557319633776,0.03857091617174561,0.91
imdb,period,tcPCA,5.1300805591892775e-05,0.7687061952059397,0.924
imdb,period,g-tcPCA,6.997598346353401e-06,0.9493411734933804,0.928
ent_bank,answer,CRC-TPC,0.43483083797431865,0.868748346208732,0.854
ent_bank,answer,tcPCA,0.3844590402337595,0.9481229093956789,0.858
ent_bank,answer,g-tcPCA,0.11222333497208875,0.9922395897459775,0.818
ent_bank,period,CRC-TPC,0.31562603135381023,0.8729348909957461,0.888
ent_bank,period,tcPCA,0.29121126226908856,0.938370811534599,0.9
ent_bank,period,g-tcPCA,0.09568142643716597,0.9859865745182085,0.892
snli,answer,CRC-TPC,0.34689388178474495,0.6820769969961035,0.63
snli,answer,tcPCA,0.24188790763084086,0.916622748623713,0.668
snli,answer,g-tcPCA,0.08188188484017328,0.9937921503326488,0.6699999999999999
snli,period,CRC-TPC,0.324548527238858,0.7295467232489286,0.75
snli,period,tcPCA,0.24197604929762034,0.9056663240951632,0.806
snli,period,g-tcPCA,0.0843413839231042,0.9873276443883231,0.842
copa,answer,CRC-TPC,0.4650340364222895,0.9593457305427207,0.488
copa,answer,tcPCA,0.45695175900089263,0.9725650916229868,0.492
copa,answer,g-tcPCA,0.23848049121344617,0.9929848356953261,0.564
copa,period,CRC-TPC,0.28708804561621737,0.7724167441541694,0.496
copa,period,tcPCA,0.21361033494984394,0.9230279572027987,0.488
copa,period,g-tcPCA,0.09592191793677257,0.9831435176265318,0.48
rte,answer,CRC-TPC,0.23083440035187386,0.7045854973163117,0.52
rte,answer,tcPCA,0.1614597791252326,0.9301558841135995,0.544
rte,answer,g-tcPCA,0.06624486096686244,0.9857424234804437,0.484
rte,period,CRC-TPC,0.33022772322349986,0.7774777970420332,0.52
rte,period,tcPCA,0.26648394471441794,0.9089615270967021,0.52
rte,period,g-tcPCA,0.0764987032081101,0.9736961120008436,0.516
