dataset,position,seed,acc
amazon,answer,0,0.956
amazon,answer,1,0.956
amazon,answer,2,0.956
amazon,answer,3,0.956
amazon,answer,4,0.958
amazon,answer,5,0.958
amazon,answer,6,0.958
amazon,answer,7,0.958
amazon,answer,8,0.956
amazon,answer,9,0.956
amazon,answer,10,0.958
amazon,answer,11,0.958
amazon,answer,12,0.954
amazon,answer,13,0.958
amazon,answer,14,0.958
amazon,answer,15,0.956
amazon,answer,16,0.956
amazon,answer,17,0.958
amazon,answer,18,0.956
amazon,answer,19,0.958
amazon,answer,20,0.956
amazon,answer,21,0.956
amazon,answer,22,0.958
amazon,answer,23,0.958
amazon,answer,24,0.958
amazon,answer,25,0.958
amazon,answer,26,0.956
amazon,answer,27,0.956
amazon,answer,28,0.956
amazon,answer,29,0.958
amazon,period,0,0.934
amazon,period,1,0.934
amazon,period,2,0.934
amazon,period,3,0.934
amazon,period,4,0.932
amazon,period,5,0.934
amazon,period,6,0.932
amazon,period,7,0.934
amazon,period,8,0.932
amazon,period,9,0.926
amazon,period,10,0.922
amazon,period,11,0.934
amazon,period,12,0.932
amazon,period,13,0.934
amazon,period,14,0.934
amazon,period,15,0.934
amazon,period,16,0.934
amazon,period,17,0.932
amazon,period,18,0.932
amazon,period,19,0.934
amazon,period,20,0.934
amazon,period,21,0.932
amazon,period,22,0.934
amazon,period,23,0.934
amazon,period,24,0.934
amazon,period,25,0.934
amazon,period,26,0.934
amazon,period,27,0.934
amazon,period,28,0.934
amazon,period,29,0.934
cities,answer,0,0.998
cities,answer,1,0.998
cities,answer,2,0.998
cities,answer,3,0.998
cities,answer,4,1.0
cities,answer,5,1.0
cities,answer,6,0.998
cities,answer,7,0.996
cities,answer,8,0.998
cities,answer,9,0.998
cities,answer,10,0.998
cities,answer,11,0.998
cities,answer,12,0.998
cities,answer,13,0.998
cities,answer,14,1.0
cities,answer,15,0.998
cities,answer,16,0.998
cities,answer,17,0.998
cities,answer,18,0.998
cities,answer,19,0.998
cities,answer,20,0.998
cities,answer,21,0.998
cities,answer,22,0.998
cities,answer,23,0.998
cities,answer,24,0.996
cities,answer,25,0.998
cities,answer,26,0.998
cities,answer,27,0.998
cities,answer,28,0.998
cities,answer,29,0.998
cities,period,0,1.0
cities,period,1,1.0
cities,period,2,1.0
cities,period,3,1.0
cities,period,4,1.0
cities,period,5,1.0
cities,period,6,1.0
cities,period,7,1.0
cities,period,8,1.0
cities,period,9,1.0
cities,period,10,1.0
cities,period,11,1.0
cities,period,12,1.0
cities,period,13,1.0
cities,period,14,1.0
cities,period,15,1.0
cities,period,16,1.0
cities,period,17,1.0
cities,period,18,1.0
cities,period,19,1.0
cities,period,20,1.0
cities,period,21,1.0
cities,period,22,1.0
cities,period,23,1.0
cities,period,24,1.0
cities,period,25,1.0
cities,period,26,1.0
cities,period,27,1.0
cities,period,28,1.0
cities,period,29,1.0
comparisons,answer,0,1.0
comparisons,answer,1,1.0
comparisons,answer,2,1.0
comparisons,answer,3,1.0
comparisons,answer,4,1.0
comparisons,answer,5,1.0
comparisons,answer,6,1.0
comparisons,answer,7,1.0
comparisons,answer,8,1.0
comparisons,answer,9,1.0
comparisons,answer,10,1.0
comparisons,answer,11,1.0
comparisons,answer,12,1.0
comparisons,answer,13,1.0
comparisons,answer,14,1.0
comparisons,answer,15,1.0
comparisons,answer,16,1.0
comparisons,answer,17,1.0
comparisons,answer,18,1.0
comparisons,answer,19,1.0
comparisons,answer,20,1.0
comparisons,answer,21,1.0
comparisons,answer,22,1.0
comparisons,answer,23,1.0
