activation,branch,role,label,truth,question,answer,text,rel_rank
-3.456350803375244,1,cf,1,0,"Consider the following example: ‘‘‘The man turned on the faucet.’’’ Choice 1: The toilet filled with water. Choice 2: Water flowed from the spout. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The man turned on the faucet.’’’ Choice 1: The toilet filled with water. Choice 2: Water flowed from the spout. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.0
-3.1197524070739746,0,base,0,0,"Consider the following example: ‘‘‘The computer crashed.’’’ Choice 1: I backed up my files. Choice 2: I downloaded a virus. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The computer crashed.’’’ Choice 1: I backed up my files. Choice 2: I downloaded a virus. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.002004008016032064
-3.0405657291412354,1,cf,0,1,"Consider the following example: ‘‘‘The girl was angry with her friend.’’’ Choice 1: The girl spread a rumor about her friend. Choice 2: The girl told a secret to her friend. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The girl was angry with her friend.’’’ Choice 1: The girl spread a rumor about her friend. Choice 2: The girl told a secret to her friend. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.004008016032064128
-2.9798743724823,1,cf,1,0,"Consider the following example: ‘‘‘The boy had trouble buttoning his shirt.’’’ Choice 1: He refused to wear the shirt. Choice 2: He asked his mother for help. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The boy had trouble buttoning his shirt.’’’ Choice 1: He refused to wear the shirt. Choice 2: He asked his mother for help. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.006012024048096192
-2.9780406951904297,1,cf,1,0,"Consider the following example: ‘‘‘The woman visited her family.’’’ Choice 1: She distrusted them. Choice 2: She missed them. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman visited her family.’’’ Choice 1: She distrusted them. Choice 2: She missed them. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.008016032064128256
-2.9739990234375,1,cf,1,0,"Consider the following example: ‘‘‘The man had an attack of conscience.’’’ Choice 1: He manipulated his friend. Choice 2: He admitted his indiscretion. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The man had an attack of conscience.’’’ Choice 1: He manipulated his friend. Choice 2: He admitted his indiscretion. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.01002004008016032
-2.9594788551330566,1,cf,0,1,"Consider the following example: ‘‘‘A man cut in front of me in the long line.’’’ Choice 1: I confronted him. Choice 2: I smiled at him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘A man cut in front of me in the long line.’’’ Choice 1: I confronted him. Choice 2: I smiled at him. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.012024048096192385
-2.95419979095459,1,cf,0,1,"Consider the following example: ‘‘‘Everyone in the class turned to stare at the student.’’’ Choice 1: The student's phone rang. Choice 2: The student took notes. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘Everyone in the class turned to stare at the student.’’’ Choice 1: The student's phone rang. Choice 2: The student took notes. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.014028056112224449
-2.944960117340088,1,cf,1,0,"Consider the following example: ‘‘‘The journalist wrote a biography about the humanitarian's life.’’’ Choice 1: The humanitarian was difficult for the journalist to interview. Choice 2: The journalist was intrigued by the humanitarian's work. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The journalist wrote a biography about the humanitarian's life.’’’ Choice 1: The humanitarian was difficult for the journalist to interview. Choice 2: The journalist was intrigued by the humanitarian's work. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.01603206412825651
-2.9274003505706787,1,cf,1,0,"Consider the following example: ‘‘‘I clumsily bumped into the stranger.’’’ Choice 1: I ran away. Choice 2: I apologized to him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘I clumsily bumped into the stranger.’’’ Choice 1: I ran away. Choice 2: I apologized to him. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.018036072144288578
