dataset,position,layer,method,seed,acc
amazon,second_to_last,8,logistic,,0.938
amazon,second_to_last,10,logistic,,0.946
amazon,second_to_last,12,logistic,,0.954
amazon,second_to_last,14,logistic,,0.954
amazon,second_to_last,15,logistic,,0.956
amazon,second_to_last,16,logistic,,0.958
amazon,second_to_last,17,logistic,,0.956
amazon,second_to_last,18,logistic,,0.958
amazon,second_to_last,20,logistic,,0.958
amazon,second_to_last,22,logistic,,0.96
amazon,second_to_last,24,logistic,,0.96
amazon,second_to_last,8,tcPCA-1,,0.66
amazon,second_to_last,10,tcPCA-1,,0.948
amazon,second_to_last,12,tcPCA-1,,0.952
amazon,second_to_last,14,tcPCA-1,,0.95
amazon,second_to_last,15,tcPCA-1,,0.952
amazon,second_to_last,16,tcPCA-1,,0.95
amazon,second_to_last,17,tcPCA-1,,0.95
amazon,second_to_last,18,tcPCA-1,,0.948
amazon,second_to_last,20,tcPCA-1,,0.952
amazon,second_to_last,22,tcPCA-1,,0.952
amazon,second_to_last,24,tcPCA-1,,0.952
amazon,second_to_last,8,GCC-1,,0.596
amazon,second_to_last,10,GCC-1,,0.944
amazon,second_to_last,12,GCC-1,,0.946
amazon,second_to_last,14,GCC-1,,0.948
amazon,second_to_last,15,GCC-1,,0.952
amazon,second_to_last,16,GCC-1,,0.954
amazon,second_to_last,17,GCC-1,,0.954
amazon,second_to_last,18,GCC-1,,0.954
amazon,second_to_last,20,GCC-1,,0.952
amazon,second_to_last,22,GCC-1,,0.954
amazon,second_to_last,24,GCC-1,,0.956
amazon,second_to_last,8,CCS,0.0,0.938
amazon,second_to_last,8,CCS,1.0,0.936
amazon,second_to_last,8,CCS,2.0,0.94
amazon,second_to_last,8,CCS,3.0,0.62
amazon,second_to_last,8,CCS,4.0,0.602
amazon,second_to_last,10,CCS,0.0,0.954
amazon,second_to_last,10,CCS,1.0,0.942
amazon,second_to_last,10,CCS,2.0,0.942
amazon,second_to_last,10,CCS,3.0,0.942
amazon,second_to_last,10,CCS,4.0,0.95
amazon,second_to_last,12,CCS,0.0,0.946
amazon,second_to_last,12,CCS,1.0,0.944
amazon,second_to_last,12,CCS,2.0,0.944
amazon,second_to_last,12,CCS,3.0,0.944
amazon,second_to_last,12,CCS,4.0,0.95
amazon,second_to_last,14,CCS,0.0,0.95
amazon,second_to_last,14,CCS,1.0,0.95
amazon,second_to_last,14,CCS,2.0,0.95
amazon,second_to_last,14,CCS,3.0,0.948
amazon,second_to_last,14,CCS,4.0,0.95
amazon,second_to_last,15,CCS,0.0,0.95
amazon,second_to_last,15,CCS,1.0,0.952
amazon,second_to_last,15,CCS,2.0,0.952
amazon,second_to_last,15,CCS,3.0,0.95
amazon,second_to_last,15,CCS,4.0,0.952
amazon,second_to_last,16,CCS,0.0,0.952
amazon,second_to_last,16,CCS,1.0,0.952
amazon,second_to_last,16,CCS,2.0,0.952
amazon,second_to_last,16,CCS,3.0,0.954
amazon,second_to_last,16,CCS,4.0,0.952
amazon,second_to_last,17,CCS,0.0,0.952
amazon,second_to_last,17,CCS,1.0,0.954
amazon,second_to_last,17,CCS,2.0,0.952
amazon,second_to_last,17,CCS,3.0,0.952
amazon,second_to_last,17,CCS,4.0,0.952
amazon,second_to_last,18,CCS,0.0,0.954
amazon,second_to_last,18,CCS,1.0,0.952
amazon,second_to_last,18,CCS,2.0,0.952
amazon,second_to_last,18,CCS,3.0,0.952
amazon,second_to_last,18,CCS,4.0,0.952
amazon,second_to_last,20,CCS,0.0,0.952
amazon,second_to_last,20,CCS,1.0,0.954
amazon,second_to_last,20,CCS,2.0,0.954
amazon,second_to_last,20,CCS,3.0,0.954
amazon,second_to_last,20,CCS,4.0,0.954
amazon,second_to_last,22,CCS,0.0,0.95
amazon,second_to_last,22,CCS,1.0,0.948
amazon,second_to_last,22,CCS,2.0,0.95
amazon,second_to_last,22,CCS,3.0,0.95
amazon,second_to_last,22,CCS,4.0,0.954
amazon,second_to_last,24,CCS,0.0,0.95
amazon,second_to_last,24,CCS,1.0,0.95
amazon,second_to_last,24,CCS,2.0,0.95
amazon,second_to_last,24,CCS,3.0,0.95
amazon,second_to_last,24,CCS,4.0,0.95
amazon,last,8,logistic,,0.922
amazon,last,10,logistic,,0.948
amazon,last,12,logistic,,0.95
amazon,last,14,logistic,,0.952
amazon,last,15,logistic,,0.952
amazon,last,16,logistic,,0.954
amazon,last,17,logistic,,0.954
amazon,last,18,logistic,,0.958
amazon,last,20,logistic,,0.96
amazon,last,22,logistic,,0.96
amazon,last,24,logistic,,0.96
amazon,last,8,tcPCA-1,,0.578
amazon,last,10,tcPCA-1,,0.632
amazon,last,12,tcPCA-1,,0.944
amazon,last,14,tcPCA-1,,0.946
amazon,last,15,tcPCA-1,,0.946
amazon,last,16,tcPCA-1,,0.95
amazon,last,17,tcPCA-1,,0.952
amazon,last,18,tcPCA-1,,0.952
amazon,last,20,tcPCA-1,,0.952
amazon,last,22,tcPCA-1,,0.952
amazon,last,24,tcPCA-1,,0.948
amazon,last,8,GCC-1,,0.564
amazon,last,10,GCC-1,,0.6
amazon,last,12,GCC-1,,0.948
amazon,last,14,GCC-1,,0.954
amazon,last,15,GCC-1,,0.948
amazon,last,16,GCC-1,,0.952
amazon,last,17,GCC-1,,0.954
amazon,last,18,GCC-1,,0.954
amazon,last,20,GCC-1,,0.954
amazon,last,22,GCC-1,,0.952
amazon,last,24,GCC-1,,0.956
amazon,last,8,CCS,0.0,0.562
amazon,last,8,CCS,1.0,0.544
amazon,last,8,CCS,2.0,0.554
amazon,last,8,CCS,3.0,0.558
amazon,last,8,CCS,4.0,0.544
amazon,last,10,CCS,0.0,0.56
amazon,last,10,CCS,1.0,0.822
amazon,last,10,CCS,2.0,0.918
amazon,last,10,CCS,3.0,0.576
amazon,last,10,CCS,4.0,0.572
amazon,last,12,CCS,0.0,0.956
amazon,last,12,CCS,1.0,0.956
amazon,last,12,CCS,2.0,0.956
amazon,last,12,CCS,3.0,0.954
amazon,last,12,CCS,4.0,0.952
amazon,last,14,CCS,0.0,0.948
amazon,last,14,CCS,1.0,0.95
amazon,last,14,CCS,2.0,0.95
amazon,last,14,CCS,3.0,0.952
amazon,last,14,CCS,4.0,0.952
amazon,last,15,CCS,0.0,0.952
amazon,last,15,CCS,1.0,0.952
amazon,last,15,CCS,2.0,0.952
amazon,last,15,CCS,3.0,0.952
amazon,last,15,CCS,4.0,0.95
amazon,last,16,CCS,0.0,0.948
amazon,last,16,CCS,1.0,0.948
amazon,last,16,CCS,2.0,0.948
amazon,last,16,CCS,3.0,0.948
amazon,last,16,CCS,4.0,0.948
amazon,last,17,CCS,0.0,0.948
amazon,last,17,CCS,1.0,0.948
amazon,last,17,CCS,2.0,0.948
amazon,last,17,CCS,3.0,0.948
amazon,last,17,CCS,4.0,0.948
amazon,last,18,CCS,0.0,0.952
amazon,last,18,CCS,1.0,0.95
amazon,last,18,CCS,2.0,0.952
amazon,last,18,CCS,3.0,0.952
amazon,last,18,CCS,4.0,0.952
amazon,last,20,CCS,0.0,0.952
amazon,last,20,CCS,1.0,0.954
amazon,last,20,CCS,2.0,0.952
amazon,last,20,CCS,3.0,0.952
amazon,last,20,CCS,4.0,0.952
amazon,last,22,CCS,0.0,0.95
amazon,last,22,CCS,1.0,0.952
amazon,last,22,CCS,2.0,0.952
amazon,last,22,CCS,3.0,0.952
amazon,last,22,CCS,4.0,0.952
amazon,last,24,CCS,0.0,0.95
amazon,last,24,CCS,1.0,0.952
amazon,last,24,CCS,2.0,0.954
amazon,last,24,CCS,3.0,0.954
amazon,last,24,CCS,4.0,0.952
cities,second_to_last,8,logistic,,0.998
cities,second_to_last,10,logistic,,0.996
cities,second_to_last,12,logistic,,1.0
cities,second_to_last,14,logistic,,1.0
cities,second_to_last,15,logistic,,0.998
cities,second_to_last,16,logistic,,1.0
cities,second_to_last,17,logistic,,1.0
cities,second_to_last,18,logistic,,1.0
cities,second_to_last,20,logistic,,1.0
cities,second_to_last,22,logistic,,1.0
cities,second_to_last,24,logistic,,1.0
cities,second_to_last,8,tcPCA-1,,0.996
cities,second_to_last,10,tcPCA-1,,0.998
cities,second_to_last,12,tcPCA-1,,0.998
cities,second_to_last,14,tcPCA-1,,0.998
cities,second_to_last,15,tcPCA-1,,0.998
cities,second_to_last,16,tcPCA-1,,0.998
cities,second_to_last,17,tcPCA-1,,0.998
cities,second_to_last,18,tcPCA-1,,0.998
cities,second_to_last,20,tcPCA-1,,0.998
cities,second_to_last,22,tcPCA-1,,0.994
cities,second_to_last,24,tcPCA-1,,0.988
cities,second_to_last,8,GCC-1,,0.994
cities,second_to_last,10,GCC-1,,0.998
cities,second_to_last,12,GCC-1,,0.998
cities,second_to_last,14,GCC-1,,1.0
cities,second_to_last,15,GCC-1,,1.0
cities,second_to_last,16,GCC-1,,1.0
cities,second_to_last,17,GCC-1,,1.0
cities,second_to_last,18,GCC-1,,1.0
cities,second_to_last,20,GCC-1,,0.998
cities,second_to_last,22,GCC-1,,1.0
cities,second_to_last,24,GCC-1,,0.994
cities,second_to_last,8,CCS,0.0,0.996
cities,second_to_last,8,CCS,1.0,0.996
cities,second_to_last,8,CCS,2.0,0.996
cities,second_to_last,8,CCS,3.0,0.996
cities,second_to_last,8,CCS,4.0,0.996
cities,second_to_last,10,CCS,0.0,0.996
cities,second_to_last,10,CCS,1.0,0.996
cities,second_to_last,10,CCS,2.0,0.996
cities,second_to_last,10,CCS,3.0,0.996
cities,second_to_last,10,CCS,4.0,0.996
cities,second_to_last,12,CCS,0.0,1.0
cities,second_to_last,12,CCS,1.0,1.0
cities,second_to_last,12,CCS,2.0,1.0
cities,second_to_last,12,CCS,3.0,1.0
cities,second_to_last,12,CCS,4.0,1.0
cities,second_to_last,14,CCS,0.0,1.0
cities,second_to_last,14,CCS,1.0,1.0
cities,second_to_last,14,CCS,2.0,1.0
cities,second_to_last,14,CCS,3.0,1.0
cities,second_to_last,14,CCS,4.0,1.0
cities,second_to_last,15,CCS,0.0,1.0
cities,second_to_last,15,CCS,1.0,1.0
cities,second_to_last,15,CCS,2.0,1.0
cities,second_to_last,15,CCS,3.0,1.0
cities,second_to_last,15,CCS,4.0,1.0
cities,second_to_last,16,CCS,0.0,1.0
cities,second_to_last,16,CCS,1.0,1.0
cities,second_to_last,16,CCS,2.0,1.0
cities,second_to_last,16,CCS,3.0,1.0
cities,second_to_last,16,CCS,4.0,1.0
cities,second_to_last,17,CCS,0.0,1.0
cities,second_to_last,17,CCS,1.0,1.0
cities,second_to_last,17,CCS,2.0,1.0
cities,second_to_last,17,CCS,3.0,1.0
cities,second_to_last,17,CCS,4.0,1.0
cities,second_to_last,18,CCS,0.0,0.912
cities,second_to_last,18,CCS,1.0,1.0
cities,second_to_last,18,CCS,2.0,1.0
cities,second_to_last,18,CCS,3.0,1.0
cities,second_to_last,18,CCS,4.0,1.0
cities,second_to_last,20,CCS,0.0,1.0
cities,second_to_last,20,CCS,1.0,1.0
cities,second_to_last,20,CCS,2.0,1.0
cities,second_to_last,20,CCS,3.0,1.0
cities,second_to_last,20,CCS,4.0,1.0
cities,second_to_last,22,CCS,0.0,1.0
cities,second_to_last,22,CCS,1.0,1.0
cities,second_to_last,22,CCS,2.0,1.0
cities,second_to_last,22,CCS,3.0,1.0
cities,second_to_last,22,CCS,4.0,1.0
cities,second_to_last,24,CCS,0.0,1.0
cities,second_to_last,24,CCS,1.0,1.0
cities,second_to_last,24,CCS,2.0,1.0
cities,second_to_last,24,CCS,3.0,1.0
cities,second_to_last,24,CCS,4.0,1.0
cities,last,8,logistic,,0.99
cities,last,10,logistic,,0.996
cities,last,12,logistic,,0.998
cities,last,14,logistic,,0.998
cities,last,15,logistic,,1.0
cities,last,16,logistic,,1.0
cities,last,17,logistic,,1.0
cities,last,18,logistic,,1.0
cities,last,20,logistic,,1.0
cities,last,22,logistic,,1.0
cities,last,24,logistic,,1.0
cities,last,8,tcPCA-1,,0.976
cities,last,10,tcPCA-1,,0.996
cities,last,12,tcPCA-1,,0.998
cities,last,14,tcPCA-1,,0.998
cities,last,15,tcPCA-1,,0.996
cities,last,16,tcPCA-1,,0.994
cities,last,17,tcPCA-1,,0.988
cities,last,18,tcPCA-1,,0.988
cities,last,20,tcPCA-1,,0.982
cities,last,22,tcPCA-1,,0.97
cities,last,24,tcPCA-1,,0.954
cities,last,8,GCC-1,,0.964
cities,last,10,GCC-1,,0.996
cities,last,12,GCC-1,,0.998
cities,last,14,GCC-1,,0.996
cities,last,15,GCC-1,,0.998
cities,last,16,GCC-1,,0.998
cities,last,17,GCC-1,,0.996
cities,last,18,GCC-1,,0.996
cities,last,20,GCC-1,,0.996
cities,last,22,GCC-1,,0.996
cities,last,24,GCC-1,,0.996
cities,last,8,CCS,0.0,0.982
cities,last,8,CCS,1.0,0.986
cities,last,8,CCS,2.0,0.982
cities,last,8,CCS,3.0,0.986
cities,last,8,CCS,4.0,0.99
cities,last,10,CCS,0.0,0.996
cities,last,10,CCS,1.0,0.996
cities,last,10,CCS,2.0,0.996
cities,last,10,CCS,3.0,0.996
cities,last,10,CCS,4.0,0.996
cities,last,12,CCS,0.0,0.998
cities,last,12,CCS,1.0,0.998
cities,last,12,CCS,2.0,0.998
cities,last,12,CCS,3.0,0.998
cities,last,12,CCS,4.0,0.998
cities,last,14,CCS,0.0,0.998
cities,last,14,CCS,1.0,0.998
cities,last,14,CCS,2.0,0.998
cities,last,14,CCS,3.0,0.998
cities,last,14,CCS,4.0,0.998
cities,last,15,CCS,0.0,0.998
cities,last,15,CCS,1.0,0.998
cities,last,15,CCS,2.0,0.998
cities,last,15,CCS,3.0,0.998
cities,last,15,CCS,4.0,0.998
cities,last,16,CCS,0.0,0.998
cities,last,16,CCS,1.0,0.998
cities,last,16,CCS,2.0,0.998
cities,last,16,CCS,3.0,0.998
cities,last,16,CCS,4.0,0.998
cities,last,17,CCS,0.0,0.998
cities,last,17,CCS,1.0,1.0
cities,last,17,CCS,2.0,0.998
cities,last,17,CCS,3.0,0.998
cities,last,17,CCS,4.0,0.998
cities,last,18,CCS,0.0,1.0
cities,last,18,CCS,1.0,1.0
cities,last,18,CCS,2.0,1.0
cities,last,18,CCS,3.0,0.998
cities,last,18,CCS,4.0,0.998
cities,last,20,CCS,0.0,1.0
cities,last,20,CCS,1.0,1.0
cities,last,20,CCS,2.0,1.0
cities,last,20,CCS,3.0,1.0
cities,last,20,CCS,4.0,1.0
cities,last,22,CCS,0.0,1.0
cities,last,22,CCS,1.0,1.0
cities,last,22,CCS,2.0,1.0
cities,last,22,CCS,3.0,1.0
cities,last,22,CCS,4.0,1.0
cities,last,24,CCS,0.0,0.998
cities,last,24,CCS,1.0,0.998
cities,last,24,CCS,2.0,1.0
cities,last,24,CCS,3.0,0.998
cities,last,24,CCS,4.0,1.0
comparisons,second_to_last,8,logistic,,1.0
comparisons,second_to_last,10,logistic,,1.0
comparisons,second_to_last,12,logistic,,1.0
comparisons,second_to_last,14,logistic,,1.0
comparisons,second_to_last,15,logistic,,1.0
comparisons,second_to_last,16,logistic,,1.0
comparisons,second_to_last,17,logistic,,1.0
comparisons,second_to_last,18,logistic,,1.0
comparisons,second_to_last,20,logistic,,1.0
comparisons,second_to_last,22,logistic,,1.0
comparisons,second_to_last,24,logistic,,1.0
comparisons,second_to_last,8,tcPCA-1,,0.998
comparisons,second_to_last,10,tcPCA-1,,1.0
comparisons,second_to_last,12,tcPCA-1,,1.0
comparisons,second_to_last,14,tcPCA-1,,1.0
comparisons,second_to_last,15,tcPCA-1,,1.0
comparisons,second_to_last,16,tcPCA-1,,1.0
comparisons,second_to_last,17,tcPCA-1,,1.0
comparisons,second_to_last,18,tcPCA-1,,1.0
comparisons,second_to_last,20,tcPCA-1,,1.0
comparisons,second_to_last,22,tcPCA-1,,1.0
comparisons,second_to_last,24,tcPCA-1,,1.0
comparisons,second_to_last,8,GCC-1,,0.998
comparisons,second_to_last,10,GCC-1,,1.0
comparisons,second_to_last,12,GCC-1,,1.0
